App,SHA,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,TestYamlConfigReader.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\configreader\TestYamlConfigReader.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\configreader\YamlConfigReader.java,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,VirtualGroupProcessorTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\configreader\VirtualGroupProcessorTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\configreader\VirtualGroupProcessor.java,,,4,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,YamlConfigReaderTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\configreader\YamlConfigReaderTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\configreader\YamlConfigReader.java,,,12,2,2,0,0,0,8,0,0,0,0,0,0,0,1,5,2,1,0,0,8,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,YamlConfigurationMergerTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\configreader\YamlConfigurationMergerTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\configreader\YamlConfigurationMerger.java,,,8,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,YamlMacroProcessorTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\configreader\YamlMacroProcessorTest.java,,,,22,8,0,0,0,0,16,0,0,0,0,0,0,0,,,3,0,0,0,16,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,AceWrapperTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\helper\AceWrapperTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\helper\AceWrapper.java,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,AcHelperTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\helper\AcHelperTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\helper\AcHelper.java,,,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,3,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,ContentHelperTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\helper\ContentHelperTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\helper\ContentHelper.java,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,ValidatorsTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\helper\ValidatorsTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\validators\Validators.java,,,4,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,AceServiceImplTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\impl\AceServiceImplTest.java,,,,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,0
